AirportID,Altitude,City,Country,DST,IATA,ICAO,Longitude,Name,Latitude,Source,Timezone,TZDatabaseTimezone,Type
120,1894,Regina,Canada,N,YQR,CYQR,-104.66600036621094,Regina International Airport,50.43190002441406,OurAirports,-6,America/Regina,airport
121,653,Thunder Bay,Canada,A,YQT,CYQT,-89.32389831542969,Thunder Bay Airport,48.37189865112305,OurAirports,-5,America/Toronto,airport
122,2195,Grande Prairie,Canada,A,YQU,CYQU,-118.885002136,Grande Prairie Airport,55.1796989441,OurAirports,-7,America/Edmonton,airport
123,1635,Yorkton,Canada,N,YQV,CYQV,-102.46199798583984,Yorkton Municipal Airport,51.26470184326172,OurAirports,-6,America/Regina,airport
124,1799,North Battleford,Canada,N,YQW,CYQW,-108.24400329589844,North Battleford Airport,52.76919937133789,OurAirports,-6,America/Regina,airport
125,496,Gander,Canada,A,YQX,CYQX,-54.56809997558594,Gander International Airport,48.9369010925293,OurAirports,-3.5,America/St_Johns,airport
126,203,Sydney,Canada,A,YQY,CYQY,-60.047798,Sydney / J.A. Douglas McCurdy Airport,46.1614,OurAirports,-4,America/Halifax,airport
127,1789,Quesnel,Canada,A,YQZ,CYQZ,-122.51000213623047,Quesnel Airport,53.026100158691406,OurAirports,-8,America/Vancouver,airport
128,215,Resolute,Canada,A,YRB,CYRB,-94.9693984985,Resolute Bay Airport,74.7169036865,OurAirports,-6,America/Winnipeg,airport
129,427,Riviere Du Loup,Canada,A,YRI,CYRI,-69.58470153808594,Rivière-du-Loup Airport,47.764400482177734,OurAirports,-5,America/Toronto,airport
130,586,Roberval,Canada,A,YRJ,CYRJ,-72.2656021118164,Roberval Airport,48.52000045776367,OurAirports,-5,America/Toronto,airport
131,3244,Rocky Mountain House,Canada,A,YRM,CYRM,-114.903999329,Rocky Mountain House Airport,52.4296989441,OurAirports,-7,America/Edmonton,airport
132,94,Rankin Inlet,Canada,A,YRT,CYRT,-92.1157989502,Rankin Inlet Airport,62.8114013672,OurAirports,-6,America/Winnipeg,airport
133,1141,Sudbury,Canada,A,YSB,CYSB,-80.79889678955078,Sudbury Airport,46.625,OurAirports,-5,America/Toronto,airport
134,792,Sherbrooke,Canada,A,YSC,CYSC,-71.69139862060547,Sherbrooke Airport,45.4385986328125,OurAirports,-5,America/Toronto,airport
135,357,St. John,Canada,A,YSJ,CYSJ,-65.89029693603516,Saint John Airport,45.31610107421875,OurAirports,-4,America/Halifax,airport
136,671,Fort Smith,Canada,A,YSM,CYSM,-111.96199798583984,Fort Smith Airport,60.020301818847656,OurAirports,-7,America/Edmonton,airport
137,2106,Nanisivik,Canada,A,YSR,CYSR,-84.613602,Nanisivik Airport,72.982201,OurAirports,-5,America/Toronto,airport
138,56,Summerside,Canada,A,YSU,CYSU,-63.83359909057617,Summerside Airport,46.44060134887695,OurAirports,-4,America/Halifax,airport
139,282,Sachs Harbour,Canada,A,YSY,CYSY,-125.242996216,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,OurAirports,-7,America/Edmonton,airport
140,164,Cape Dorset,Canada,A,YTE,CYTE,-76.5267028809,Cape Dorset Airport,64.2300033569,OurAirports,-5,America/Toronto,airport
141,729,Thompson,Canada,A,YTH,CYTH,-97.86419677734375,Thompson Airport,55.80110168457031,OurAirports,-6,America/Winnipeg,airport
142,283,Trenton,Canada,A,YTR,CYTR,-77.5280990600586,CFB Trenton,44.118900299072266,OurAirports,-5,America/Toronto,airport
143,967,Timmins,Canada,A,YTS,CYTS,-81.376701355,Timmins/Victor M. Power,48.569698333699996,OurAirports,-5,America/Toronto,airport
144,252,Toronto,Canada,A,YTZ,CYTZ,-79.396202,Billy Bishop Toronto City Centre Airport,43.627499,OurAirports,-5,America/Toronto,airport
145,15,Tuktoyaktuk,Canada,A,YUB,CYUB,-133.0260009765625,Tuktoyaktuk Airport,69.43329620361328,OurAirports,-7,America/Edmonton,airport
146,118,Montreal,Canada,A,YUL,CYUL,-73.7407989502,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,OurAirports,-5,America/Toronto,airport
147,80,Repulse Bay,Canada,A,YUT,CYUT,-86.22470092770001,Repulse Bay Airport,66.5214004517,OurAirports,-6,America/Winnipeg,airport
148,30,Hall Beach,Canada,A,YUX,CYUX,-81.2425,Hall Beach Airport,68.77610015869999,OurAirports,-5,America/Toronto,airport
149,988,Rouyn,Canada,A,YUY,CYUY,-78.83560180664062,Rouyn Noranda Airport,48.20610046386719,OurAirports,-5,America/Toronto,airport
150,1242,La Ronge,Canada,N,YVC,CYVC,-105.262001038,La Ronge Airport,55.151401519800004,OurAirports,-6,America/Regina,airport
151,2025,Vermillion,Canada,A,YVG,CYVG,-110.823997498,Vermilion Airport,53.355800628699996,OurAirports,-7,America/Edmonton,airport
152,21,Broughton Island,Canada,A,YVM,CYVM,-64.03140258789999,Qikiqtarjuaq Airport,67.5457992554,OurAirports,-5,America/Toronto,airport
153,1107,Val D'or,Canada,A,YVO,CYVO,-77.7827987671,Val-d'Or Airport,48.0532989502,OurAirports,-5,America/Toronto,airport
154,129,Quujjuaq,Canada,A,YVP,CYVP,-68.4269027709961,Kuujjuaq Airport,58.096099853515625,OurAirports,-5,America/Toronto,airport
155,238,Norman Wells,Canada,A,YVQ,CYVQ,-126.7979965209961,Norman Wells Airport,65.28160095214844,OurAirports,-7,America/Edmonton,airport
156,14,Vancouver,Canada,A,YVR,CYVR,-123.183998108,Vancouver International Airport,49.193901062,OurAirports,-8,America/Vancouver,airport
157,1423,Buffalo Narrows,Canada,N,YVT,CYVT,-108.417999268,Buffalo Narrows Airport,55.8418998718,OurAirports,-6,America/Regina,airport
158,729,Wiarton,Canada,A,YVV,CYVV,-81.107201,Wiarton Airport,44.7458,OurAirports,-5,America/Toronto,airport
159,427,Petawawa,Canada,A,YWA,CYWA,-77.31919860839844,Petawawa Airport,45.95220184326172,OurAirports,-5,America/Toronto,airport
160,783,Winnipeg,Canada,A,YWG,CYWG,-97.2398986816,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,OurAirports,-6,America/Winnipeg,airport
161,1808,Wabush,Canada,A,YWK,CYWK,-66.8644027709961,Wabush Airport,52.92190170288086,OurAirports,-4,America/Halifax,airport
162,3085,Williams Lake,Canada,A,YWL,CYWL,-122.054000854,Williams Lake Airport,52.1831016541,OurAirports,-8,America/Vancouver,airport
163,489,Wrigley,Canada,A,YWY,CYWY,-123.43699645996094,Wrigley Airport,63.20940017700195,OurAirports,-7,America/Edmonton,airport
164,3082,Cranbrook,Canada,A,YXC,CYXC,-115.78199768066,Cranbrook/Canadian Rockies International Airport,49.610801696777,OurAirports,-7,America/Edmonton,airport
165,2202,Edmonton,Canada,A,YXD,CYXD,-113.521003723,Edmonton City Centre (Blatchford Field) Airport,53.5724983215,OurAirports,-7,America/Edmonton,airport
166,1653,Saskatoon,Canada,N,YXE,CYXE,-106.69999694824219,Saskatoon John G. Diefenbaker International Airport,52.170799255371094,OurAirports,-6,America/Regina,airport
167,2352,Medicine Hat,Canada,A,YXH,CYXH,-110.72100067138672,Medicine Hat Airport,50.01890182495117,OurAirports,-7,America/Edmonton,airport
168,2280,Fort Saint John,Canada,A,YXJ,CYXJ,-120.73999786376953,Fort St John Airport,56.23809814453125,OurAirports,-7,America/Dawson_Creek,airport
169,1258,Sioux Lookout,Canada,A,YXL,CYXL,-91.9052963256836,Sioux Lookout Airport,50.11389923095703,OurAirports,-6,America/Winnipeg,airport
170,75,Pangnirtung,Canada,A,YXP,CYXP,-65.71360015869999,Pangnirtung Airport,66.1449966431,OurAirports,-5,America/Toronto,airport
171,800,Earlton,Canada,A,YXR,CYXR,-79.8473453522,Earlton (Timiskaming Regional) Airport,47.697400654599996,OurAirports,-5,America/Toronto,airport
172,2267,Prince George,Canada,A,YXS,CYXS,-122.679000854,Prince George Airport,53.8894004822,OurAirports,-8,America/Vancouver,airport
173,713,Terrace,Canada,A,YXT,CYXT,-128.576009,Northwest Regional Airport Terrace-Kitimat,54.468498,OurAirports,-8,America/Vancouver,airport
174,912,London,Canada,A,YXU,CYXU,-81.1539,London Airport,43.035599,OurAirports,-5,America/Toronto,airport
175,195,Abbotsford,Canada,A,YXX,CYXX,-122.36100006103516,Abbotsford Airport,49.025299072265625,OurAirports,-8,America/Vancouver,airport
176,2317,Whitehorse,Canada,A,YXY,CYXY,-135.067001343,Whitehorse / Erik Nielsen International Airport,60.7095985413,OurAirports,-8,America/Vancouver,airport
177,1215,North Bay,Canada,A,YYB,CYYB,-79.422798,North Bay Jack Garland Airport,46.363602,OurAirports,-5,America/Toronto,airport
178,3557,Calgary,Canada,A,YYC,CYYC,-114.019996643,Calgary International Airport,51.113899231,OurAirports,-7,America/Edmonton,airport
179,1712,Smithers,Canada,A,YYD,CYYD,-127.18299865722656,Smithers Airport,54.82469940185547,OurAirports,-8,America/Vancouver,airport
180,1253,Fort Nelson,Canada,A,YYE,CYYE,-122.597000122,Fort Nelson Airport,58.8363990784,OurAirports,-8,America/Vancouver,airport
181,1129,Penticton,Canada,A,YYF,CYYF,-119.60199737548828,Penticton Airport,49.46310043334961,OurAirports,-8,America/Vancouver,airport
182,160,Charlottetown,Canada,A,YYG,CYYG,-63.12110137939453,Charlottetown Airport,46.290000915527344,OurAirports,-4,America/Halifax,airport
183,92,Spence Bay,Canada,A,YYH,CYYH,-93.5766983032,Taloyoak Airport,69.5466995239,OurAirports,-7,America/Edmonton,airport
184,63,Victoria,Canada,A,YYJ,CYYJ,-123.426002502,Victoria International Airport,48.646900177,OurAirports,-8,America/Vancouver,airport
185,1170,Lynn Lake,Canada,A,YYL,CYYL,-101.07599639892578,Lynn Lake Airport,56.86389923095703,OurAirports,-6,America/Winnipeg,airport
186,2680,Swift Current,Canada,N,YYN,CYYN,-107.691001892,Swift Current Airport,50.291900634799994,OurAirports,-6,America/Regina,airport
187,94,Churchill,Canada,A,YYQ,CYYQ,-94.06500244140625,Churchill Airport,58.739200592041016,OurAirports,-6,America/Winnipeg,airport
188,160,Goose Bay,Canada,A,YYR,CYYR,-60.4258003235,Goose Bay Airport,53.3191986084,OurAirports,-4,America/Halifax,airport
189,461,St. John's,Canada,A,YYT,CYYT,-52.7518997192,St. John's International Airport,47.618598938,OurAirports,-3.5,America/St_Johns,airport
190,743,Kapuskasing,Canada,A,YYU,CYYU,-82.46749877929688,Kapuskasing Airport,49.41389846801758,OurAirports,-5,America/Toronto,airport
191,1058,Armstrong,Canada,A,YYW,CYYW,-88.90969848632812,Armstrong Airport,50.29029846191406,OurAirports,-5,America/Toronto,airport
